Fecha (dd/mm/aa);Momento;Nombre alimento;Calorías (kcal);Carbohidratos (g);Lípidos/grasas (g);Proteína (g);Sodio (mg);;Variable de salida
24/02/2020;comida;queso;183;1.8;14.5;11;0.5;;
24/02/2020;comida;boing;109.5;27;0;0;123;;
24/02/2020;cena;boing;109.5;27;0;0;123;;
24/02/2020;snack;barrita de cereal;128;22;4;1;100;;
24/02/2020;cena;jamon;18;4;8;10;1075;;
24/02/2020;cena;sopa;146;28.6;1.6;4.4;1322;;
24/02/2020;cena;avena;112.1;19.5;2.1;3.8;1.2;;
25/02/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
25/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
25/02/2020;Comida;jamon;18;4;8;10;1075;;
25/02/2020;Comida;sopa;146;28.6;1.6;4.4;1322;;
25/02/2020;Comida;avena;112.1;19.5;2.1;3.8;1.2;;
25/02/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
25/02/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
25/02/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
25/02/2020;Cena;mayonesa;40;0.5;4.2;0.1;73;;
26/02/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
26/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
26/02/2020;Comida;carne;83;0.55;2.99;13.29;354;;
26/02/2020;Comida;arroz;205;45;0.4;4.3;0.1;;
26/02/2020;Snack;barrita de cereal;128;22;4;1;100;;
26/02/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
27/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
27/02/2020;Desayuno;cereal ;108;25;0;2;160;;
27/02/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
27/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
27/02/2020;Desayuno;cereal ;108;25;0;2;160;;
27/02/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
27/02/2020;Snack;barrita de cereal;128;22;4;1;100;;
27/02/2020;Comida;fideo;178.3;37.95;0.46;5.6;8.3;;
27/02/2020;Comida;carne;83;0.55;2.99;13.29;354;;
28/02/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
28/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
28/02/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
28/02/2020;Snack;naranja;86;21.6;0.6;1.7;0;;
28/02/2020;Snack;barrita de cereal;128;22;4;1;100;;
28/02/2020;Comida;carne;83;0.55;2.99;13.29;354;;
28/02/2020;Comida;arroz;205;45;0.4;4.3;0.1;;
28/02/2020;Snack;barrita de cereal;128;22;4;1;100;;
29/02/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
29/02/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
29/02/2020;Desayuno;leche;154;12;8.3;7.8;116;;
29/02/2020;Snack;barrita de cereal;128;22;4;1;100;;
29/02/2020;Comida;carne;83;0.55;2.99;13.29;354;;
29/02/2020;Snack;avena;112.1;19.5;2.1;3.8;1.2;;
29/02/2020;Snack;chocolate;36.7;8.14;0.26;0.45;15;;
29/02/2020;Snack;leche;154;12;8.3;7.8;116;;
29/02/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
29/02/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
29/02/2020;Cena;mayonesa;40;0.5;4.2;0.1;73;;
1/03/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
1/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
1/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
1/03/2020;snack;barrita de cereal;128;22;4;1;100;;
1/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
1/03/2020;snack;leche;154;12;8.3;7.8;116;;
1/03/2020;comida;atun;403.2;2.04;0.11;21.44;404.58;;
1/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
1/03/2020;comida;salsa;53;9;1;2;530;;
1/03/2020;cena;sopa;146;28.6;1.6;4.4;1322;;
2/03/2020;desayuno;cereal ;108;25;0;2;160;;
2/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
2/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
2/03/2020;snack;barrita de cereal;128;22;4;1;100;;
2/03/2020;snack;leche;154;12;8.3;7.8;116;;
2/03/2020;comida;carne;83;0.55;2.99;13.29;354;;
2/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
2/03/2020;comida;jugo;89.72;22.43;0;0;12.81;;
2/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
2/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
2/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
3/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
3/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
3/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
3/03/2020;snack;barrita de cereal;128;22;4;1;100;;
3/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
3/03/2020;comida;sopa;146;28.6;1.6;4.4;1322;;
3/03/2020;comida;papa;73.59;14.8;0.11;2.34;2.7;;
3/03/2020;snack;cereal ;108;25;0;2;160;;
3/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
3/03/2020;cena;salsa;53;9;1;2;530;;
4/03/2020;desayuno;cereal ;108;25;0;2;160;;
4/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
4/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
4/03/2020;comida;pollo;145;0;1;23;65;;
4/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
4/03/2020;snack;barrita de cereal;128;22;4;1;100;;
4/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
4/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
4/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
5/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
5/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
5/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
5/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
5/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
5/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
5/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
5/03/2020;snack;barrita de cereal;128;22;4;1;100;;
5/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
5/03/2020;cena;salsa;53;9;1;2;530;;
6/03/2020;desayuno;cereal ;108;25;0;2;160;;
6/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
6/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
6/03/2020;comida;carne;83;0.55;2.99;13.29;354;;
6/03/2020;comida;salsa;53;9;1;2;530;;
6/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
6/03/2020;snack;barrita de cereal;128;22;4;1;100;;
6/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
6/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
6/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
6/03/2020;cena;tomate;18.12;3.5;0.11;1;3;;
6/03/2020;cena;lechuga;20;0.3;0;1;10;;
7/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
7/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
7/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
7/03/2020;snack;barrita de cereal;128;22;4;1;100;;
7/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
7/03/2020;snack;pan;73;15;0.5;2;130;;
7/03/2020;snack;mermelada;38;9.3;0;0.1;4;;
7/03/2020;comida;pollo;145;0;1;23;65;;
7/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
7/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
7/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
7/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
8/03/2020;desayuno;cereal ;108;25;0;2;160;;
8/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
8/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
8/03/2020;snack;barrita de cereal;128;22;4;1;100;;
8/03/2020;comida;atun;403.2;2.04;0.11;21.44;404.58;;
8/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
8/03/2020;comida;mayonesa;40;0.5;4.2;0.1;73;;
8/03/2020;comida;tomate;18.12;3.5;0.11;1;3;;
9/03/2020;desayuno;cereal ;108;25;0;2;160;;
9/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
9/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
9/03/2020;snack;barrita de cereal;128;22;4;1;100;;
9/03/2020;comida;carne;83;0.55;2.99;13.29;354;;
9/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
9/03/2020;comida;tomate;18.12;3.5;0.11;1;3;;
9/03/2020;comida;salsa;53;9;1;2;530;;
9/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
10/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
10/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
10/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
10/03/2020;snack;barrita de cereal;128;22;4;1;100;;
10/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
10/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
10/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
10/03/2020;comida;papa;73.59;14.8;0.11;2.34;2.7;;
10/03/2020;comida;jugo;89.72;22.43;0;0;12.81;;
10/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
10/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
10/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
11/03/2020;desayuno;cereal;108;25;0;2;160;;
11/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
11/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
11/03/2020;snack;barrita de cereal;128;22;4;1;100;;
11/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
11/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
11/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
11/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
11/03/2020;comida;jamon;18;4;8;10;1075;;
12/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
12/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
12/03/2020;snack;pan;73;15;0.5;2;130;;
12/03/2020;snack;mermelada;38;9.3;0;0.1;4;;
12/03/2020;snack;barrita de cereal;128;22;4;1;100;;
12/03/2020;snack;yoghurt;188;32.1;4.3;5.1;72;;
12/03/2020;comida;carne;83;0.55;2.99;13.29;354;;
12/03/2020;comida;salsa;53;9;1;2;530;;
12/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
13/03/2020;desayuno;cereal ;108;25;0;2;160;;
13/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
13/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
13/03/2020;snack;barrita de cereal;128;22;4;1;100;;
13/03/2020;snack;leche;154;12;8.3;7.8;116;;
13/03/2020;comida;pollo;145;0;1;23;65;;
13/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
13/03/2020;comida;papa;73.59;14.8;0.11;2.34;2.7;;
14/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
14/03/2020;desayuno;cereal ;108;25;0;2;160;;
14/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
14/03/2020;comida;atun;403.2;2.04;0.11;21.44;404.58;;
14/03/2020;comida;mayonesa;40;0.5;4.2;0.1;73;;
14/03/2020;comida;tomate;18.12;3.5;0.11;1;3;;
14/03/2020;snack;cerelac;209;33.5;5;7.5;75;;
14/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
14/03/2020;cena;carne;83;0.55;2.99;13.29;354;;
14/03/2020;cena;salsa;53;9;1;2;530;;
14/03/2020;snack;jamon;18;4;8;10;1075;;
14/03/2020;snack;jamon;18;4;8;10;1075;;
14/03/2020;snack;jamon;18;4;8;10;1075;;
14/03/2020;snack;pan;73;15;0.5;2;130;;
14/03/2020;snack;pan;73;15;0.5;2;130;;
14/03/2020;snack;pan;73;15;0.5;2;130;;
14/03/2020;snack;cereal ;108;25;0;2;160;;
15/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
15/03/2020;desayuno;cereal ;108;25;0;2;160;;
15/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
15/03/2020;snack;barrita de cereal;128;22;4;1;100;;
15/03/2020;snack;barrita de cereal;128;22;4;1;100;;
15/03/2020;snack;cerelac;209;33.5;5;7.5;75;;
15/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
15/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
15/03/2020;comida;papa;73.59;14.8;0.11;2.34;2.7;;
15/03/2020;comida;salsa soya;8;0;0;2;990;;
15/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
15/03/2020;snack;banana;134;34.3;0.5;1.6;0.05;;
15/03/2020;snack;jamon;18;4;8;10;1075;;
15/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
16/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
16/03/2020;Desayuno;cereal ;108;25;0;2;160;;
16/03/2020;Snack;delicias gamesa;61.44;100.8;19.2;9.6;691.2;;
16/03/2020;Snack;arizona;100;27;0;0;10;;
16/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
16/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
16/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
16/03/2020;Comida;jamon;18;4;8;10;1075;;
16/03/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
16/03/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
16/03/2020;Cena;mayonesa;40;0.5;4.2;0.1;73;;
16/03/2020;Snack;Barrita de cereal;128;22;4;1;100;;
17/03/2020;desayuno;cereal ;108;25;0;2;160;;
17/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
17/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
17/03/2020;snack;barrita de cereal;128;22;4;1;100;;
17/03/2020;comida;atun;403.2;2.04;0.11;21.44;404.58;;
17/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
17/03/2020;comida;mayonesa;40;0.5;4.2;0.1;73;;
17/03/2020;comida;tomate;18.12;3.5;0.11;1;3;;
18/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
18/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
18/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
18/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
18/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
18/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
18/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
18/03/2020;snack;barrita de cereal;128;22;4;1;100;;
18/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
18/03/2020;cena;salsa;53;9;1;2;530;;
19/03/2020;desayuno;cereal ;108;25;0;2;160;;
19/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
19/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
19/03/2020;comida;carne;83;0.55;2.99;13.29;354;;
19/03/2020;comida;salsa;53;9;1;2;530;;
19/03/2020;comida;fideo;178.3;37.95;0.46;5.6;8.3;;
19/03/2020;snack;barrita de cereal;128;22;4;1;100;;
19/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
19/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
19/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
20/03/2020;Desayuno;cereal ;108;25;0;2;160;;
20/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
20/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
20/03/2020;Comida;carne;83;0.55;2.99;13.29;354;;
21/03/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
21/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
21/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
21/03/2020;Comida;fideo;178.3;37.95;0.46;5.6;8.3;;
21/03/2020;Comida;salsa;53;9;1;2;530;;
21/03/2020;Comida;jamon;18;4;8;10;1075;;
22/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
22/03/2020;Desayuno;cereal ;108;25;0;2;160;;
22/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
22/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
22/03/2020;Desayuno;cereal ;108;25;0;2;160;;
22/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
22/03/2020;Snack;barrita de cereal;128;22;4;1;100;;
22/03/2020;Comida;fideo;178.3;37.95;0.46;5.6;8.3;;
22/03/2020;Comida;carne;83;0.55;2.99;13.29;354;;
23/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
23/03/2020;desayuno;cereal ;108;25;0;2;160;;
23/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
23/03/2020;comida;cuernito;193;23;9;5;210;;
23/03/2020;comida;jamon;18;4;8;10;1075;;
23/03/2020;comida;queso;183;1.8;14.5;11;0.5;;
23/03/2020;comida;boing;109.5;27;0;0;123;;
23/03/2020;cena;boing;109.5;27;0;0;123;;
23/03/2020;snack;barrita de cereal;128;22;4;1;100;;
23/03/2020;cena;jamon;18;4;8;10;1075;;
23/03/2020;cena;sopa;146;28.6;1.6;4.4;1322;;
23/03/2020;cena;avena;112.1;19.5;2.1;3.8;1.2;;
24/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
24/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
24/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
24/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
24/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
24/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
24/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
24/03/2020;snack;barrita de cereal;128;22;4;1;100;;
24/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
24/03/2020;cena;salsa;53;9;1;2;530;;
25/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
25/03/2020;Desayuno;cereal ;108;25;0;2;160;;
25/03/2020;Snack;delicias gamesa;61.44;100.8;19.2;9.6;691.2;;
25/03/2020;Snack;arizona;100;27;0;0;10;;
25/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
25/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
25/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
25/03/2020;Comida;jamon;18;4;8;10;1075;;
25/03/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
25/03/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
25/03/2020;Cena;mayonesa;40;0.5;4.2;0.1;73;;
25/03/2020;Snack;Barrita de cereal;128;22;4;1;100;;
26/03/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
26/03/2020;Desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
26/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
26/03/2020;Comida;fideo;178.3;37.95;0.46;5.6;8.3;;
26/03/2020;Comida;salsa;53;9;1;2;530;;
26/03/2020;Comida;jamon;18;4;8;10;1075;;
27/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
27/03/2020;desayuno;cereal ;108;25;0;2;160;;
27/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
27/03/2020;comida;atun;403.2;2.04;0.11;21.44;404.58;;
27/03/2020;comida;mayonesa;40;0.5;4.2;0.1;73;;
27/03/2020;comida;tomate;18.12;3.5;0.11;1;3;;
27/03/2020;snack;cerelac;209;33.5;5;7.5;75;;
27/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
27/03/2020;cena;carne;83;0.55;2.99;13.29;354;;
27/03/2020;cena;salsa;53;9;1;2;530;;
27/03/2020;snack;jamon;18;4;8;10;1075;;
27/03/2020;snack;jamon;18;4;8;10;1075;;
27/03/2020;snack;jamon;18;4;8;10;1075;;
27/03/2020;snack;pan;73;15;0.5;2;130;;
27/03/2020;snack;pan;73;15;0.5;2;130;;
27/03/2020;snack;pan;73;15;0.5;2;130;;
28/03/2020;desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
28/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
28/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
28/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
28/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
28/03/2020;comida;huevo;92;0.7;6.7;7.3;83;;
28/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
28/03/2020;snack;barrita de cereal;128;22;4;1;100;;
28/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
28/03/2020;cena;salsa;53;9;1;2;530;;
29/03/2020;Desayuno;avena;112.1;19.5;2.1;3.8;1.2;;
29/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
29/03/2020;Comida;jamon;18;4;8;10;1075;;
29/03/2020;Comida;sopa;146;28.6;1.6;4.4;1322;;
29/03/2020;Comida;avena;112.1;19.5;2.1;3.8;1.2;;
29/03/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
29/03/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
29/03/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
29/03/2020;Cena;mayonesa;40;0.5;4.2;0.1;73;;
30/03/2020;desayuno;cereal ;108;25;0;2;160;;
30/03/2020;desayuno;leche;154;12;8.3;7.8;116;;
30/03/2020;desayuno;chocolate;36.7;8.14;0.26;0.45;15;;
30/03/2020;comida;pollo;145;0;1;23;65;;
30/03/2020;comida;arroz;205;45;0.4;4.3;0.1;;
30/03/2020;snack;barrita de cereal;128;22;4;1;100;;
30/03/2020;cena;fideo;178.3;37.95;0.46;5.6;8.3;;
30/03/2020;cena;atun;403.2;2.04;0.11;21.44;404.58;;
30/03/2020;cena;mayonesa;40;0.5;4.2;0.1;73;;
31/03/2020;Desayuno;leche;154;12;8.3;7.8;116;;
31/03/2020;Desayuno;cereal ;108;25;0;2;160;;
31/03/2020;Snack;delicias gamesa;61.44;100.8;19.2;9.6;691.2;;
31/03/2020;Snack;arizona;100;27;0;0;10;;
31/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
31/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
31/03/2020;Comida;huevo;92;0.7;6.7;7.3;83;;
31/03/2020;Comida;jamon;18;4;8;10;1075;;
31/03/2020;Cena;fideo;178.3;37.95;0.46;5.6;8.3;;
31/03/2020;Cena;atun;403.2;2.04;0.11;21.44;404.58;;
